,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal ,Support,Termination,Site,G_ads(O),G_ads(OH),G_ads(OOH),\DG1,\DG2,\DG3,\DG4,U_lim(ORR),Limiting del \DG,Strain,Strain effect,Ligand Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag111,NA,NA,NA,2.15,0.60,3.92,-1.00,-1.77,-1.55,-0.60,0.60,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag111-L1,V2C111,O,,2.29,0.85,4.12,-0.80,-1.82,-1.45,-0.85,0.80,1,0.10,0.00,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag111-L1,Mo3N2111,C,,2.53,1.23,4.09,-0.83,-1.56,-1.31,-1.23,0.83,1,-1.97,0.07,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag111-L2,NiC111,C,,2.34,0.81,3.96,-0.96,-1.63,-1.52,-0.81,0.81,4,-2.70,0.10,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag111-L2,NiN111,C,,2.39,0.82,3.98,-0.94,-1.59,-1.57,-0.82,0.82,4,-3.01,0.11,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au111,NA,NA,NA,2.75,1.33,4.47,-0.45,-1.71,-1.42,-1.33,0.45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au111-L1,NiN111,Ni,,2.81,1.06,4.16,-0.76,-1.35,-1.75,-1.06,0.76,1,-3.68,0.10,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au111-L1,VC111,V,,2.39,0.96,3.87,-1.05,-1.48,-1.43,-0.96,0.96,4,0.62,-0.01,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au111-L1,VN111,V,,2.46,0.81,4.06,-0.86,-1.59,-1.66,-0.81,0.81,4,-0.51,0.02,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au111-L1,VN111,C,,2.69,0.82,4.08,-0.84,-1.39,-1.87,-0.82,0.82,4,-0.51,0.02,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au111-L1,V2C111,V,,2.42,0.92,3.89,-1.03,-1.47,-1.50,-0.92,0.92,4,-1.17,0.04,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au111-L1,V2C-C111,C,,2.69,0.80,3.83,-1.09,-1.13,-1.89,-0.80,0.80,4,-0.58,0.02,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au111-L1,Mo3N2111,Mo,,2.52,0.98,4.15,-0.77,-1.63,-1.54,-0.98,0.77,1,-2.65,0.08,-0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au111-L2,MoC111,Mo,,2.20,1.08,4.07,-0.85,-1.87,-1.13,-1.08,0.85,1,5.77,-0.14,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
